epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2045.06,0.99703,1.95367,1.23812,0.42986,0.30816,0.23549,0.14429,1.30371,2.37641,1.56693,0.000331155,0.000331155,0.000331155
2,4185.93,1.09898,1.61506,1.29637,0.38317,0.29853,0.25096,0.16747,1.253,2.48543,1.52888,0.00065791,0.00065791,0.00065791
3,6321.29,1.15128,1.61045,1.32825,0.21057,0.40261,0.21074,0.12593,1.37059,2.6611,1.57569,0.000978064,0.000978064,0.000978064
4,8396.48,1.13169,1.56279,1.32924,0.25336,0.41363,0.32138,0.19441,1.21596,1.94256,1.45162,0.0009703,0.0009703,0.0009703
5,10149.6,1.09274,1.4797,1.29257,0.44324,0.40422,0.33824,0.23083,1.18017,1.75186,1.41153,0.0009604,0.0009604,0.0009604
6,12142.3,1.04557,1.3886,1.26291,0.55796,0.44386,0.391,0.26607,1.10436,1.4676,1.37838,0.0009505,0.0009505,0.0009505
7,14261.4,1.02351,1.35085,1.25273,0.51384,0.44019,0.39062,0.26614,1.07547,1.42939,1.35993,0.0009406,0.0009406,0.0009406
8,16373.6,0.98183,1.29696,1.23497,0.53714,0.46857,0.39593,0.27547,1.06497,1.44731,1.3174,0.0009307,0.0009307,0.0009307
9,18499.6,0.98869,1.27454,1.24031,0.4499,0.58497,0.44402,0.30048,1.03137,1.28411,1.30078,0.0009208,0.0009208,0.0009208
10,20601.5,0.93314,1.22949,1.19566,0.41993,0.5949,0.47465,0.33641,0.90416,1.17786,1.20724,0.0009109,0.0009109,0.0009109
11,22724.2,0.91926,1.17635,1.19011,0.39528,0.60298,0.45814,0.32952,0.90983,1.16093,1.21739,0.000901,0.000901,0.000901
12,24827.3,0.90164,1.17552,1.17178,0.4493,0.5814,0.44138,0.31224,0.91006,1.15975,1.20971,0.0008911,0.0008911,0.0008911
13,26897,0.87531,1.12067,1.16366,0.41751,0.6259,0.46364,0.34209,0.90743,1.14772,1.21783,0.0008812,0.0008812,0.0008812
14,29020.5,0.88049,1.12012,1.15724,0.46628,0.59581,0.47458,0.34262,0.89492,1.05599,1.17734,0.0008713,0.0008713,0.0008713
15,31138.5,0.86822,1.0655,1.15349,0.43466,0.60496,0.4766,0.34849,0.87616,1.03085,1.19182,0.0008614,0.0008614,0.0008614
16,33270.4,0.84962,1.06017,1.14625,0.44896,0.64152,0.48669,0.35912,0.87844,1.09271,1.19503,0.0008515,0.0008515,0.0008515
17,35448.1,0.84003,1.03359,1.13213,0.41603,0.65451,0.47921,0.35855,0.80453,1.02057,1.15323,0.0008416,0.0008416,0.0008416
18,37608.9,0.83011,1.01166,1.1251,0.47134,0.63657,0.47415,0.35093,0.85905,1.01935,1.17767,0.0008317,0.0008317,0.0008317
19,39792.6,0.81396,0.9991,1.12405,0.37809,0.59592,0.48428,0.36917,0.77513,1.05574,1.14665,0.0008218,0.0008218,0.0008218
20,41957.8,0.80739,1.01093,1.11989,0.42665,0.63755,0.48893,0.37315,0.83502,1.05128,1.18662,0.0008119,0.0008119,0.0008119
21,44146.5,0.79332,0.96355,1.10899,0.60991,0.56681,0.48903,0.36813,0.8138,1.00402,1.1538,0.000802,0.000802,0.000802
22,46285.8,0.7961,0.96879,1.1063,0.47601,0.53757,0.47925,0.35325,0.82789,0.98588,1.16828,0.0007921,0.0007921,0.0007921
23,48390.5,0.77775,0.94971,1.10166,0.39206,0.62466,0.48087,0.36532,0.82026,0.96957,1.14265,0.0007822,0.0007822,0.0007822
24,50535.3,0.76308,0.92423,1.09598,0.4405,0.67987,0.48647,0.36953,0.79129,0.94975,1.12911,0.0007723,0.0007723,0.0007723
25,52660.1,0.74786,0.90768,1.08038,0.47096,0.62461,0.48626,0.37571,0.77173,0.94797,1.12562,0.0007624,0.0007624,0.0007624
26,54778.5,0.75445,0.89733,1.08279,0.48727,0.59773,0.51918,0.3959,0.77327,0.90544,1.12145,0.0007525,0.0007525,0.0007525
27,56902.1,0.74911,0.89301,1.08348,0.45172,0.66265,0.50703,0.38866,0.78402,0.91818,1.12837,0.0007426,0.0007426,0.0007426
28,59027.9,0.74531,0.88378,1.08704,0.60021,0.58472,0.49294,0.36579,0.78924,0.89435,1.13906,0.0007327,0.0007327,0.0007327
29,61149.7,0.71508,0.85304,1.06399,0.44845,0.68652,0.50286,0.38848,0.76863,0.89898,1.11137,0.0007228,0.0007228,0.0007228
30,63279.5,0.72863,0.84995,1.06724,0.5087,0.63727,0.52175,0.3969,0.79282,0.8851,1.13162,0.0007129,0.0007129,0.0007129
31,65405.2,0.71926,0.84939,1.06153,0.43316,0.63831,0.48586,0.37158,0.77307,0.91295,1.11406,0.000703,0.000703,0.000703
32,67537.1,0.70408,0.82841,1.05882,0.44778,0.68824,0.5052,0.38596,0.75016,0.86659,1.10801,0.0006931,0.0006931,0.0006931
33,69661.2,0.69888,0.8175,1.0493,0.45585,0.58364,0.48652,0.3709,0.78127,0.91846,1.11137,0.0006832,0.0006832,0.0006832
34,71786.4,0.6839,0.81597,1.04545,0.447,0.70145,0.48938,0.3733,0.76336,0.90465,1.12119,0.0006733,0.0006733,0.0006733
35,73902.9,0.68822,0.8043,1.05369,0.46252,0.6536,0.50303,0.38758,0.73936,0.86642,1.09356,0.0006634,0.0006634,0.0006634
36,76023,0.68585,0.7925,1.04424,0.45745,0.69095,0.49899,0.3838,0.72367,0.88391,1.09337,0.0006535,0.0006535,0.0006535
37,78156.6,0.67479,0.77674,1.03495,0.45678,0.66987,0.48329,0.37564,0.74304,0.86682,1.11789,0.0006436,0.0006436,0.0006436
38,80282.9,0.68211,0.811,1.05369,0.51182,0.71228,0.53711,0.41283,0.74496,0.84202,1.09461,0.0006337,0.0006337,0.0006337
39,82403.1,0.66131,0.76252,1.03039,0.57778,0.63322,0.48519,0.37463,0.75543,0.87863,1.11021,0.0006238,0.0006238,0.0006238
40,84538.5,0.66573,0.76017,1.02991,0.46322,0.69597,0.51269,0.40083,0.72533,0.83429,1.09509,0.0006139,0.0006139,0.0006139
41,86651.2,0.65353,0.75998,1.02405,0.42337,0.68727,0.50368,0.39003,0.72836,0.84399,1.10511,0.000604,0.000604,0.000604
42,88762.1,0.64662,0.74209,1.0198,0.47667,0.66999,0.50856,0.39855,0.70963,0.82387,1.08663,0.0005941,0.0005941,0.0005941
43,90887.2,0.64306,0.73151,1.01702,0.43135,0.69333,0.49937,0.38572,0.71377,0.84312,1.07566,0.0005842,0.0005842,0.0005842
44,93000.8,0.64488,0.72013,1.0212,0.42082,0.72211,0.48396,0.37769,0.71438,0.83242,1.08253,0.0005743,0.0005743,0.0005743
45,95123.4,0.63684,0.70024,1.01966,0.421,0.66511,0.50969,0.39528,0.711,0.85072,1.07839,0.0005644,0.0005644,0.0005644
46,97238.1,0.64152,0.71489,1.01646,0.43526,0.70354,0.5148,0.39708,0.6997,0.80203,1.07695,0.0005545,0.0005545,0.0005545
47,99364,0.62741,0.713,1.00877,0.45258,0.72147,0.51737,0.40854,0.68313,0.80148,1.06395,0.0005446,0.0005446,0.0005446
48,101476,0.61113,0.69301,0.99935,0.47177,0.7177,0.51411,0.40218,0.70677,0.8433,1.081,0.0005347,0.0005347,0.0005347
49,103597,0.62084,0.70299,1.006,0.45309,0.66917,0.507,0.4054,0.67625,0.79683,1.0542,0.0005248,0.0005248,0.0005248
50,105716,0.60635,0.6791,0.9973,0.46031,0.65657,0.50355,0.39916,0.66583,0.79942,1.05556,0.0005149,0.0005149,0.0005149
51,107845,0.60498,0.67026,0.99705,0.50275,0.67938,0.52681,0.42339,0.6705,0.79764,1.05931,0.000505,0.000505,0.000505
52,109959,0.60702,0.67407,0.99791,0.47375,0.65016,0.52474,0.42311,0.67669,0.77553,1.05575,0.0004951,0.0004951,0.0004951
53,112085,0.59179,0.6595,0.99531,0.44966,0.65942,0.50336,0.39652,0.71684,0.83171,1.08531,0.0004852,0.0004852,0.0004852
54,114204,0.58956,0.64716,0.98535,0.47613,0.6972,0.50471,0.4042,0.65537,0.80151,1.04717,0.0004753,0.0004753,0.0004753
